weight,subject,predicate,object,evaluated_sentence,makes_sense,confidence
high,rice,in,bowl,It is likely to see rice in bowl.,1.0,0.95
high,cereal,in,bowl,It is likely to see cereal in bowl.,1.0,0.72
high,milk,in,bowl,It is likely to see milk in bowl.,1.0,0.95
high,soup,in,bowl,It is likely to see soup in bowl.,1.0,0.95
high,fruit,in,bowl,It is likely to see fruit in bowl.,0.0,0.95
high,vegetable,in,fridge,It is likely to see vegetable in fridge.,1.0,0.95
mid,cat,in,bowl,It is NOT likely to see cat in bowl.,1.0,0.95
mid,book,in,bowl,It is NOT likely to see book in bowl.,1.0,0.95
mid,pencil,in,bowl,It is NOT likely to see pencil in bowl.,0.0,0.95
mid,paper,in,bowl,It is NOT likely to see paper in bowl.,0.0,0.95
mid,fork,in,bowl,It is NOT likely to see fork in bowl.,0.0,0.95
mid,vegetable,in,bathroom,It is NOT likely to see vegetable in bathroom.,1.0,0.95
high,table,in,room,It is likely to see table in room.,0.0,0.95
high,chair,in,room,It is likely to see chair in room.,1.0,0.95
high,bed,in,room,It is likely to see bed in room.,1.0,0.95
high,dresser,in,room,It is likely to see dresser in room.,1.0,0.95
high,closet,in,room,It is likely to see closet in room.,0.0,0.95
mid,car,in,room,It is NOT likely to see car in room.,1.0,0.95
mid,bus,in,room,It is NOT likely to see bus in room.,1.0,0.95
mid,train,in,room,It is NOT likely to see train in room.,1.0,0.95
mid,park,in,room,It is NOT likely to see park in room.,0.0,0.95
mid,beach,in,room,It is NOT likely to see beach in room.,1.0,0.95
mid,table,in,garden,It is NOT likely to see table in garden.,1.0,0.95
high,food,in,can,It is likely to see food in can.,1.0,0.95
mid,shoes,in,bowl,It is NOT likely to see shoes in bowl.,1.0,0.67
mid,food,in,bathroom,It is NOT likely to see food in bathroom.,1.0,0.95
high,flower,in,vase,It is likely to see flower in vase.,1.0,0.95
high,water,in,vase,It is likely to see water in vase.,1.0,0.95
high,plant,in,vase,It is likely to see plant in vase.,1.0,0.95
high,decoration,in,vase,It is likely to see decoration in vase.,1.0,0.95
high,air,in,vase,It is likely to see air in vase.,0.0,0.95
mid,coffee,in,vase,It is NOT likely to see coffee in vase.,1.0,0.95
mid,flower,in,sink,It is NOT likely to see flower in sink.,1.0,0.9
high,ice,in,snow,It is likely to see ice in snow.,1.0,0.95
high,wind,in,snow,It is likely to see wind in snow.,1.0,0.95
high,snowman,in,snow,It is likely to see snowman in snow.,1.0,0.95
high,pole,in,garden,It is likely to see pole in garden.,1.0,0.65
mid,bird,in,snow,It is NOT likely to see bird in snow.,0.0,0.95
mid,banana,in,snow,It is NOT likely to see banana in snow.,1.0,0.95
mid,house,in,snow,It is NOT likely to see house in snow.,1.0,0.95
mid,pole,in,sink,It is NOT likely to see pole in sink.,0.0,0.95
high,train,has,pole,It is likely for train to have pole.,1.0,0.95
high,building,has,pole,It is likely for building to have pole.,1.0,0.95
high,house,has,pole,It is likely for house to have pole.,1.0,0.65
high,car,has,pole,It is likely for car to have pole.,0.0,0.68
high,bus,has,pole,It is likely for bus to have pole.,0.0,0.95
high,sidewalk,has,people,It is likely for sidewalk to have people.,1.0,0.68
mid,hat,has,pole,It is NOT likely for hat to have pole.,1.0,0.95
mid,drawer,has,pole,It is NOT likely for drawer to have pole.,1.0,0.65
mid,vase,has,pole,It is NOT likely for vase to have pole.,1.0,0.95
mid,basket,has,pole,It is NOT likely for basket to have pole.,1.0,0.95
mid,box,has,pole,It is NOT likely for box to have pole.,0.0,0.95
mid,sidewalk,has,people,It is NOT likely for sidewalk to have people.,0.0,0.95
high,head,has,hair,It is likely for head to have hair.,1.0,0.95
high,face,has,hair,It is likely for face to have hair.,1.0,0.95
high,scalp,has,hair,It is likely for scalp to have hair.,1.0,0.95
high,animal,has,hair,It is likely for animal to have hair.,1.0,0.95
high,person,has,hair,It is likely for person to have hair.,0.0,0.95
mid,plant,has,hair,It is NOT likely for plant to have hair.,1.0,0.95
mid,rock,has,hair,It is NOT likely for rock to have hair.,1.0,0.95
mid,building,has,hair,It is NOT likely for building to have hair.,0.0,0.95
mid,toy,has,hair,It is NOT likely for toy to have hair.,1.0,0.95
mid,food,has,hair,It is NOT likely for food to have hair.,1.0,0.95
mid,face,has,hair,It is NOT likely for face to have hair.,1.0,0.89
high,airplane,has,wing,It is likely for airplane to have wing.,1.0,0.68
high,bat,has,wing,It is likely for bat to have wing.,1.0,0.95
high,bird,has,wing,It is likely for bird to have wing.,0.0,0.68
high,butterfly,has,wing,It is likely for butterfly to have wing.,1.0,0.68
high,dragon,has,wing,It is likely for dragon to have wing.,1.0,0.95
high,plane,has,wings,It is likely for plane to have wings.,1.0,0.95
mid,boat,has,wing,It is NOT likely for boat to have wing.,1.0,0.8
mid,train,has,wing,It is NOT likely for train to have wing.,1.0,0.95
mid,house,has,wing,It is NOT likely for house to have wing.,1.0,0.95
mid,car,has,wing,It is NOT likely for car to have wing.,1.0,0.95
mid,bus,has,wing,It is NOT likely for bus to have wing.,1.0,0.95
mid,plane,has,cat,It is NOT likely for plane to have cat.,0.0,0.95
high,bike,has,wheel,It is likely for bike to have wheel.,0.0,0.95
high,motorcycle,has,wheel,It is likely for motorcycle to have wheel.,1.0,0.89
mid,rectangle,has,wheel,It is NOT likely for rectangle to have wheel.,0.0,0.94
mid,square,has,wheel,It is NOT likely for square to have wheel.,0.0,0.68
